iter	Passed	Remaining
415	2314	3248
416	2318	3241
417	2323	3234
418	2327	3227
419	2332	3220
420	2336	3213
421	2340	3205
422	2346	3200
423	2349	3192
424	2353	3184
425	2357	3177
426	2363	3171
427	2366	3163
428	2369	3154
429	2373	3146
430	2380	3143
431	2385	3136
432	2389	3129
433	2396	3125
434	2400	3118
435	2405	3111
436	2410	3105
437	2414	3098
438	2418	3090
439	2421	3082
440	2426	3076
441	2430	3067
442	2434	3060
443	2438	3053
444	2442	3046
445	2445	3038
446	2449	3030
447	2453	3022
448	2458	3017
449	2463	3011
450	2467	3003
451	2472	2998
452	2476	2990
453	2480	2983
454	2483	2975
455	2490	2971
456	2494	2964
457	2497	2955
458	2506	2954
459	2511	2948
460	2515	2940
461	2519	2934
462	2523	2927
463	2527	2919
464	2531	2912
465	2536	2906
466	2541	2900
467	2544	2893
468	2549	2886
469	2553	2880
470	2557	2872
471	2560	2864
472	2563	2856
473	2568	2850
474	2572	2843
475	2575	2835
476	2578	2827
477	2583	2821
478	2588	2815
479	2592	2809
480	2599	2804
481	2604	2798
482	2606	2789
483	2611	2783
484	2617	2779
485	2622	2773
486	2626	2767
487	2632	2762
488	2637	2756
489	2642	2750
490	2649	2746
491	2654	2740
492	2665	2740
493	2670	2734
494	2674	2728
495	2681	2724
496	2686	2718
497	2691	2712
498	2697	2708
499	2702	2702
500	2706	2695
501	2712	2691
502	2718	2685
503	2723	2679
504	2729	2675
505	2734	2669
506	2738	2662
507	2745	2658
508	2750	2652
509	2753	2645
510	2758	2640
511	2762	2632
512	2766	2625
513	2770	2619
514	2777	2615
515	2780	2608
516	2784	2601
517	2788	2594
518	2794	2589
519	2797	2582
520	2801	2575
521	2804	2568
522	2809	2562
523	2813	2555
524	2817	2548
525	2820	2541
526	2824	2535
527	2828	2528
528	2832	2521
529	2835	2514
530	2839	2508
531	2843	2501
532	2847	2494
533	2850	2487
534	2857	2483
535	2861	2476
536	2865	2470
537	2871	2466
538	2876	2460
539	2881	2454
540	2887	2450
541	2893	2444
542	2897	2438
543	2903	2434
544	2908	2428
545	2913	2422
546	2919	2418
547	2924	2412
548	2929	2406
549	2935	2401
550	2940	2395
551	2944	2389
552	2950	2384
553	2955	2379
554	2959	2373
555	2964	2366
556	2969	2362
557	2974	2355
558	2978	2349
559	2984	2344
560	2989	2339
561	2993	2332
562	2998	2327
563	3002	2320
564	3006	2314
565	3009	2307
566	3014	2302
567	3018	2295
568	3022	2289
569	3026	2282
570	3031	2277
571	3035	2271
572	3038	2264
573	3042	2258
574	3047	2252
575	3052	2246
576	3055	2240
577	3059	2233
578	3064	2228
579	3069	2222
580	3072	2216
581	3078	2210
582	3082	2204
583	3085	2198
584	3089	2191
585	3093	2185
586	3098	2179
587	3103	2174
588	3107	2168
589	3112	2162
590	3116	2156
591	3121	2151
592	3128	2147
593	3134	2142
594	3139	2136
595	3145	2132
596	3149	2126
597	3154	2120
598	3160	2115
599	3164	2109
600	3169	2104
601	3174	2099
602	3179	2093
603	3183	2087
604	3189	2082
605	3194	2077
606	3198	2071
607	3204	2066
608	3208	2060
609	3213	2054
610	3220	2050
611	3225	2045
612	3230	2039
613	3234	2033
614	3239	2027
615	3244	2022
616	3249	2016
617	3255	2012
618	3261	2007
619	3265	2001
620	3270	1996
621	3275	1990
622	3279	1984
623	3286	1980
624	3291	1974
625	3295	1968
626	3301	1964
627	3305	1958
628	3310	1952
629	3317	1948
630	3321	1942
631	3325	1936
632	3331	1931
633	3340	1928
634	3348	1924
635	3353	1919
636	3357	1913
637	3363	1908
638	3369	1903
639	3376	1899
640	3384	1895
641	3390	1890
642	3403	1889
643	3411	1885
644	3416	1880
645	3421	1874
646	3426	1869
647	3430	1863
648	3435	1857
649	3439	1852
650	3445	1847
651	3449	1841
652	3454	1835
653	3462	1831
654	3467	1826
655	3473	1821
656	3478	1815
657	3482	1809
658	3486	1804
659	3491	1798
660	3496	1793
661	3500	1787
662	3504	1781
663	3509	1775
664	3513	1769
665	3517	1764
666	3522	1758
667	3527	1753
668	3531	1747
669	3537	1742
670	3541	1736
671	3546	1730
672	3550	1725
673	3556	1720
674	3559	1714
675	3563	1707
676	3570	1703
677	3574	1697
678	3579	1692
679	3583	1686
680	3588	1681
681	3592	1675
682	3597	1669
683	3603	1664
684	3607	1659
685	3612	1653
686	3617	1648
687	3624	1643
688	3633	1639
689	3639	1635
690	3644	1629
691	3650	1624
692	3655	1619
693	3660	1613
694	3665	1608
695	3670	1603
696	3674	1597
697	3678	1591
698	3686	1587
699	3691	1581
700	3694	1575
701	3699	1570
702	3704	1565
703	3709	1559
704	3716	1555
705	3720	1549
706	3724	1543
707	3731	1538
708	3735	1533
709	3739	1527
710	3744	1522
711	3748	1516
712	3751	1510
713	3754	1503
714	3758	1498
715	3761	1492
716	3764	1485
717	3767	1479
718	3770	1473
719	3775	1468
720	3779	1462
721	3782	1456
722	3785	1450
723	3790	1444
724	3793	1439
725	3797	1433
726	3800	1427
727	3804	1421
728	3808	1415
729	3811	1409
730	3814	1403
731	3817	1397
732	3821	1392
733	3824	1386
734	3827	1380
735	3830	1374
736	3833	1368
737	3838	1362
738	3841	1356
739	3844	1350
740	3847	1344
741	3850	1338
742	3854	1333
743	3857	1327
744	3860	1321
745	3863	1315
746	3866	1309
747	3870	1304
748	3873	1298
749	3877	1292
750	3880	1286
751	3883	1280
752	3888	1275
753	3891	1269
754	3894	1263
755	3896	1257
756	3901	1252
757	3904	1246
758	3907	1240
759	3910	1234
760	3914	1229
761	3918	1223
762	3921	1218
763	3924	1212
764	3927	1206
765	3930	1200
766	3934	1195
767	3937	1189
768	3940	1183
769	3943	1177
770	3947	1172
771	3950	1166
772	3953	1160
773	3956	1155
774	3959	1149
775	3964	1144
776	3967	1138
777	3970	1133
778	3973	1127
779	3978	1122
780	3982	1116
781	3985	1111
782	3988	1105
783	3991	1099
784	3995	1094
785	3998	1088
786	4001	1082
787	4004	1077
788	4007	1071
789	4011	1066
790	4015	1060
791	4017	1055
792	4020	1049
793	4023	1043
794	4027	1038
795	4030	1033
796	4033	1027
797	4036	1021
798	4040	1016
799	4044	1011
800	4047	1005
801	4051	1000
802	4054	994
803	4058	989
804	4061	983
805	4064	978
806	4068	973
807	4074	968
808	4077	962
809	4081	957
810	4085	952
811	4091	947
812	4096	942
813	4100	936
814	4106	932
815	4111	927
816	4115	921
817	4119	916
818	4123	911
819	4127	906
820	4130	900
821	4134	895
822	4138	890
823	4142	884
824	4145	879
825	4149	874
826	4154	869
827	4157	863
828	4161	858
829	4164	852
830	4171	848
831	4175	843
832	4180	838
833	4187	833
834	4191	828
835	4195	822
836	4201	818
837	4205	812
838	4209	807
839	4215	803
840	4220	797
841	4223	792
842	4227	787
843	4231	782
844	4235	776
845	4238	771
846	4241	766
847	4245	760
848	4248	755
849	4251	750
850	4254	744
851	4257	739
852	4261	734
853	4265	729
854	4268	723
855	4271	718
856	4274	713
857	4278	708
858	4281	702
859	4284	697
860	4287	692
861	4290	686
862	4294	681
863	4298	676
864	4302	671
865	4305	666
866	4311	661
867	4314	656
868	4318	650
869	4321	645
870	4325	640
871	4329	635
872	4333	630
873	4336	625
874	4341	620
875	4345	615
876	4349	609
877	4352	604
878	4357	599
879	4361	594
880	4364	589
881	4367	584
882	4372	579
883	4375	574
884	4378	569
885	4382	563
886	4387	558
887	4391	553
888	4395	548
889	4398	543
890	4402	538
891	4407	533
892	4410	528
893	4415	523
894	4422	518
895	4427	513
896	4431	508
897	4436	503
898	4440	498
899	4443	493
900	4447	488
901	4452	483
902	4456	478
903	4460	473
904	4463	468
905	4468	463
906	4471	458
907	4475	453
908	4478	448
909	4483	443
910	4486	438
911	4491	433
912	4495	428
913	4500	423
914	4505	418
915	4508	413
916	4511	408
917	4517	403
918	4520	398
919	4524	393
920	4527	388
921	4532	383
922	4535	378
923	4539	373
924	4542	368
925	4547	363
926	4551	358
927	4555	353
928	4560	348
929	4566	343
930	4570	338
931	4574	333
932	4579	328
933	4583	323
934	4587	318
935	4590	313
936	4598	309
937	4601	304
938	4605	299
939	4610	294
940	4613	289
941	4617	284
942	4620	279
943	4623	274
944	4628	269
945	4632	264
946	4636	259
947	4642	254
948	4646	249
949	4650	244
950	4655	239
951	4662	235
952	4666	230
953	4669	225
954	4675	220
955	4678	215
956	4682	210
957	4685	205
958	4689	200
959	4693	195
960	4696	190
961	4700	185
962	4704	180
963	4709	175
964	4712	170
965	4715	165
966	4718	161
967	4722	156
968	4725	151
969	4728	146
970	4731	141
971	4734	136
972	4738	131
973	4741	126
974	4744	121
975	4747	116
976	4750	111
977	4754	106
978	4757	102
979	4760	97
980	4763	92
981	4766	87
982	4770	82
983	4773	77
984	4776	72
985	4779	67
986	4782	62
987	4786	58
988	4789	53
989	4792	48
990	4795	43
991	4801	38
992	4806	33
993	4809	29
994	4812	24
995	4817	19
996	4820	14
997	4824	9
998	4827	4
999	4832	0
